,ticket,order,time_msc,type,entry,magic,position_id,reason,volume,price,commission,swap,profit,fee,symbol,comment,external_id,volume_signal
0,130945096,256705204,1767790559589,0,0,0,256632122,3,1.0,145.84,0.0,0.0,0.0,0.0,LFTS11,METATRADER5,,1.0
1,130950944,256719011,1767794010377,0,0,0,256632122,3,1.0,145.84,0.0,0.0,0.0,0.0,LFTS11,METATRADER5,,1.0
